iter	Passed	Remaining
0	60	60350
1	62	31010
2	63	21147
3	65	16232
4	66	13305
5	68	11319
6	70	9931
7	71	8840
8	72	8019
9	74	7368
10	76	6847
11	77	6386
12	78	5994
13	80	5663
14	82	5396
15	83	5150
16	85	4924
17	86	4718
18	87	4532
19	89	4371
20	90	4233
21	92	4095
22	93	3972
23	94	3861
24	96	3756
25	97	3658
26	98	3566
27	100	3482
28	101	3407
29	103	3335
30	104	3277
31	106	3212
32	107	3157
33	109	3101
34	110	3050
35	111	2998
36	113	2953
37	115	2911
38	116	2869
39	118	2832
40	119	2803
41	121	2768
42	122	2731
43	124	2697
44	125	2664
45	127	2637
46	128	2608
47	130	2583
48	131	2555
49	132	2526
50	134	2504
51	136	2485
52	137	2461
53	139	2441
54	140	2419
55	142	2397
56	143	2377
57	145	2356
58	146	2337
59	148	2322
60	149	2303
61	151	2288
62	152	2272
63	154	2254
64	155	2243
65	157	2233
66	159	2225
67	161	2210
68	162	2194
69	164	2188
70	166	2176
71	167	2165
72	169	2150
73	170	2135
74	172	2124
75	174	2118
76	175	2106
77	177	2094
78	178	2082
79	180	2073
80	181	2060
81	183	2049
82	184	2038
83	185	2026
84	187	2016
85	188	2006
86	190	1996
87	192	1990
88	193	1979
89	194	1970
90	196	1960
91	197	1950
92	199	1942
93	200	1933
94	201	1922
95	203	1913
96	204	1904
97	205	1895
98	207	1886
99	208	1876
100	209	1867
101	210	1857
102	212	1850
103	213	1841
104	215	1834
105	216	1826
106	217	1817
107	219	1811
108	221	1806
109	222	1799
110	223	1791
111	224	1783
112	226	1776
113	227	1768
114	228	1761
115	230	1754
116	231	1746
117	232	1739
118	233	1732
119	235	1724
120	236	1719
121	238	1716
122	239	1710
123	241	1704
124	242	1697
125	243	1692
126	245	1688
127	247	1682
128	248	1677
129	249	1671
130	251	1665
131	252	1658
132	253	1654
133	255	1649
134	256	1643
135	257	1637
136	259	1632
137	260	1626
138	261	1621
139	263	1616
140	264	1611
141	265	1605
142	267	1601
143	268	1596
144	269	1590
145	271	1585
146	272	1581
147	273	1576
148	275	1571
149	276	1566
150	277	1561
151	278	1556
152	280	1551
153	281	1546
154	282	1541
155	284	1536
156	285	1532
157	286	1527
158	288	1525
159	289	1521
160	291	1518
161	292	1513
162	294	1510
163	295	1507
164	296	1502
165	298	1498
166	299	1494
167	300	1489
168	301	1484
169	303	1481
170	304	1478
171	306	1474
172	307	1470
173	309	1466
174	310	1462
175	311	1458
176	312	1454
177	314	1451
178	315	1447
179	316	1443
180	318	1439
181	319	1436
182	320	1432
183	322	1430
184	323	1426
185	325	1422
186	326	1419
187	327	1415
188	329	1413
189	330	1409
190	332	1406
191	333	1404
192	334	1400
193	336	1397
194	337	1394
195	339	1391
196	340	1387
197	341	1384
198	343	1381
199	344	1379
200	346	1376
201	347	1372
202	348	1369
203	349	1365
204	351	1361
205	352	1358
206	354	1356
207	355	1354
208	356	1351
209	358	1347
210	359	1344
211	360	1341
212	362	1339
213	363	1336
214	365	1333
215	366	1331
216	368	1328
217	369	1325
218	370	1322
219	372	1319
220	373	1316
221	374	1313
222	376	1311
223	377	1308
224	379	1306
225	380	1303
226	382	1301
227	383	1298
228	384	1295
229	386	1292
230	387	1289
231	388	1286
232	390	1284
233	391	1280
234	392	1278
235	393	1274
236	395	1272
237	396	1269
238	397	1266
239	399	1264
240	400	1262
241	401	1259
242	403	1256
243	404	1253
244	405	1250
245	407	1247
246	408	1246
247	410	1245
248	412	1243
249	413	1241
250	415	1238
251	416	1235
252	417	1233
253	419	1231
254	420	1228
255	421	1226
256	423	1223
257	424	1221
258	426	1219
259	427	1218
260	429	1215
261	430	1213
262	432	1210
263	433	1208
264	435	1206
265	436	1204
266	437	1202
267	439	1200
268	441	1198
269	442	1197
270	444	1196
271	446	1194
272	447	1192
273	449	1191
274	451	1190
275	452	1187
276	454	1185
277	455	1183
278	457	1182
279	459	1180
280	460	1178
281	461	1175
282	463	1173
283	464	1171
284	466	1169
285	467	1166
286	468	1164
287	470	1162
288	471	1159
289	473	1159
290	474	1156
291	476	1154
292	477	1152
293	479	1151
294	480	1149
295	482	1146
296	484	1145
297	485	1143
298	486	1141
299	488	1138
300	489	1136
301	490	1134
302	492	1132
303	493	1129
304	494	1127
305	496	1125
306	498	1124
307	499	1122
308	500	1119
309	501	1117
310	503	1115
311	504	1112
312	505	1110
313	507	1108
314	508	1106
315	510	1104
316	511	1102
317	512	1100
318	514	1097
319	515	1095
320	516	1093
321	518	1090
322	519	1089
323	521	1087
324	522	1086
325	524	1084
326	525	1082
327	527	1080
328	528	1078
329	529	1075
330	531	1073
331	533	1074
332	535	1072
333	537	1070
334	538	1069
335	540	1067
336	541	1065
337	543	1063
338	544	1062
339	546	1060
340	547	1058
341	549	1056
342	550	1054
343	552	1052
344	553	1051
345	555	1049
346	557	1048
347	558	1046
348	560	1044
349	561	1042
350	562	1040
351	564	1038
352	565	1036
353	566	1034
354	568	1032
355	569	1030
356	571	1028
357	572	1026
358	574	1024
359	575	1023
360	576	1021
361	578	1019
362	579	1017
363	581	1015
364	582	1013
365	583	1011
366	585	1010
367	587	1008
368	588	1006
369	589	1004
370	591	1002
371	593	1001
372	594	999
373	595	997
374	597	995
375	598	993
376	600	992
377	601	990
378	603	988
379	605	987
380	606	985
381	607	983
382	609	981
383	610	980
384	612	977
385	613	976
386	614	974
387	616	972
388	617	969
389	619	968
390	620	966
391	621	964
392	623	962
393	624	960
394	626	958
