iter	Passed	Remaining
0	125	125699
1	130	65264
2	134	44745
3	138	34525
4	142	28278
5	145	24059
6	148	21014
7	151	18729
8	153	16949
9	157	15565
10	160	14407
11	163	13451
12	166	12633
13	169	11933
14	172	11335
15	175	10801
16	178	10337
17	181	9913
18	184	9537
19	188	9212
20	191	8908
21	194	8639
22	197	8391
23	200	8155
24	203	7932
25	206	7729
26	209	7538
27	212	7375
28	215	7225
29	218	7076
30	222	6943
31	225	6822
32	228	6708
33	232	6596
34	235	6488
35	238	6394
36	242	6301
37	245	6209
38	248	6129
39	252	6056
40	255	5978
41	258	5903
42	262	5835
43	265	5768
44	268	5704
45	272	5643
46	275	5586
47	278	5531
48	282	5480
49	285	5433
50	289	5393
51	293	5349
52	297	5308
53	300	5269
54	304	5231
55	308	5195
56	311	5158
57	315	5124
58	319	5095
59	323	5061
60	326	5030
61	331	5010
62	335	4985
63	338	4957
64	342	4931
65	347	4912
66	351	4891
67	355	4866
68	358	4841
69	362	4817
70	366	4795
71	370	4771
72	374	4751
73	378	4736
74	383	4725
75	387	4710
76	391	4693
77	395	4678
78	399	4660
79	403	4642
80	407	4621
81	411	4612
82	416	4598
83	420	4584
84	424	4569
85	428	4556
86	433	4544
87	437	4532
88	441	4516
89	445	4506
90	449	4494
91	454	4483
92	458	4472
93	463	4466
94	467	4453
95	472	4446
96	476	4435
97	481	4430
98	485	4419
99	489	4407
100	494	4397
101	498	4386
102	502	4377
103	506	4367
104	511	4359
105	515	4349
106	519	4338
107	524	4328
108	528	4323
109	533	4316
110	538	4308
111	542	4301
112	546	4293
113	551	4283
114	555	4275
115	560	4268
116	564	4259
117	568	4252
118	573	4242
119	577	4235
120	582	4228
121	586	4221
122	590	4210
123	595	4208
124	600	4201
125	604	4196
126	609	4191
127	614	4184
128	618	4178
129	623	4173
130	628	4168
131	632	4161
132	637	4156
133	642	4155
134	647	4150
135	653	4149
136	658	4145
137	662	4138
138	666	4131
139	671	4124
140	676	4118
141	680	4113
142	685	4105
143	689	4099
144	694	4096
145	699	4091
146	704	4086
147	708	4079
148	712	4068
149	716	4058
150	720	4049
151	724	4039
152	728	4032
153	732	4023
154	736	4013
155	740	4006
156	744	3997
157	748	3989
158	752	3979
159	756	3972
160	760	3964
161	764	3956
162	769	3949
