cycle,(LPC outlet temperature) (◦R),(LPT outlet temperature) (◦R),(HPC outlet pressure) (psia),(HPC outlet Static pressure) (psia),(Ratio of fuel flow to Ps30) (pps/psia),(Bypass Ratio) ,(Bleed Enthalpy),(High-pressure turbines Cool air flow),(Low-pressure turbines Cool air flow),RUL
2,642.15,1403.14,553.75,47.49,522.28,8.4318,392,39.0,23.4236,125
3,642.35,1404.2,554.26,47.27,522.42,8.4178,390,38.95,23.3442,125
4,642.35,1401.87,554.45,47.13,522.86,8.3682,392,38.88,23.3739,125
5,642.37,1406.22,554.0,47.28,522.19,8.4294,393,38.9,23.4044,125
6,642.1,1398.37,554.67,47.16,521.68,8.4108,391,38.98,23.3669,125
7,642.48,1397.77,554.34,47.36,522.32,8.3974,392,39.1,23.3774,125
8,642.56,1400.97,553.85,47.24,522.47,8.4076,391,38.97,23.3106,125
9,642.12,1394.8,553.69,47.29,521.79,8.3728,392,39.05,23.4066,125
10,641.71,1400.46,553.59,47.03,521.79,8.4286,393,38.95,23.4694,125
11,642.28,1400.64,554.54,47.15,521.4,8.434,392,38.94,23.4787,125
12,642.06,1400.15,554.52,47.18,521.8,8.3938,391,39.06,23.366,125
13,643.07,1400.83,553.44,47.38,521.85,8.4152,393,38.93,23.2757,125
14,642.35,1399.16,554.48,47.44,521.67,8.3964,393,39.18,23.3826,125
15,642.43,1402.13,553.64,47.3,522.5,8.4199,391,38.99,23.35,125
16,642.13,1404.5,553.94,47.24,521.49,8.3936,392,38.97,23.455,125
17,642.58,1399.95,553.8,47.12,521.89,8.4542,392,38.81,23.3319,125
18,642.62,1396.12,554.2,47.21,521.76,8.4028,392,38.89,23.3987,125
19,641.79,1400.35,554.18,47.4,521.89,8.4321,391,38.8,23.3464,125
20,643.04,1405.23,554.81,47.22,522.07,8.421,392,39.03,23.422,125
21,642.37,1398.13,554.08,47.15,522.42,8.4049,392,39.09,23.3101,125
22,642.77,1400.57,553.63,47.24,522.0,8.4034,392,38.92,23.3792,125
23,642.14,1394.75,553.98,47.25,521.52,8.424,392,38.94,23.4562,125
24,642.38,1398.81,553.49,47.44,522.13,8.3891,392,39.0,23.3696,125
25,642.77,1399.39,554.0,47.36,522.56,8.3917,393,38.95,23.4288,125
26,642.16,1396.07,554.11,47.26,522.28,8.426,394,38.86,23.4149,125
27,642.44,1401.84,554.07,47.37,522.0,8.4046,393,38.99,23.4472,125
28,642.35,1399.13,554.68,47.41,522.57,8.4323,390,39.01,23.2841,125
29,641.91,1400.99,554.25,47.24,522.41,8.4189,393,38.93,23.3597,125
30,642.2,1396.08,554.37,47.4,522.19,8.4065,390,39.05,23.411,125
31,642.02,1396.9,554.13,47.41,521.95,8.4104,392,38.94,23.3353,125
32,642.33,1400.36,554.96,47.25,521.92,8.4148,392,39.02,23.4999,125
33,642.71,1402.43,554.61,47.28,521.91,8.3753,392,38.83,23.3506,125
34,642.54,1400.48,554.3,47.47,521.7,8.4349,392,38.81,23.3092,125
35,642.44,1403.0,554.3,47.31,521.75,8.443,391,39.13,23.4164,125
36,642.54,1405.54,554.53,47.25,522.32,8.4246,392,38.86,23.4308,125
37,641.99,1398.9,554.63,47.29,522.29,8.4142,392,38.99,23.4352,125
38,641.93,1399.5,554.7,47.27,522.42,8.4158,392,39.06,23.4768,125
39,642.01,1400.69,553.97,47.12,522.23,8.414,392,38.7,23.3699,125
40,642.24,1401.77,554.57,47.33,521.84,8.3784,392,38.84,23.3769,125
41,642.4,1403.21,553.72,47.09,522.07,8.437,392,39.13,23.4444,125
42,642.12,1401.38,553.94,47.49,522.23,8.4137,392,39.0,23.375,125
43,642.24,1406.05,553.68,47.32,522.74,8.4068,392,38.99,23.3148,125
44,641.93,1401.2,554.15,47.45,522.3,8.4201,392,39.06,23.4753,125
45,642.53,1399.16,553.83,47.45,521.73,8.4099,393,38.79,23.3943,125
46,642.43,1401.27,553.76,47.2,522.02,8.3977,393,38.93,23.3745,125
47,642.21,1402.89,554.38,47.22,521.84,8.3973,392,38.99,23.4873,125
48,641.89,1399.16,554.02,47.4,521.91,8.4376,392,38.94,23.365,125
49,642.23,1397.76,554.23,47.22,521.37,8.4151,392,39.06,23.4498,125
50,642.77,1403.62,553.92,47.47,522.33,8.4116,392,38.85,23.4106,125
51,642.81,1400.42,553.73,47.12,521.91,8.4504,393,38.94,23.3651,125
52,642.76,1395.57,553.04,47.07,522.1,8.4539,391,39.0,23.3388,125
53,642.61,1402.26,554.16,47.29,521.96,8.4418,392,38.9,23.3775,125
54,642.42,1401.2,553.95,47.38,522.44,8.4189,392,38.96,23.2348,125
55,642.41,1401.58,554.45,47.4,522.11,8.4071,392,39.06,23.3567,125
56,642.49,1400.76,553.98,47.26,522.48,8.4022,391,38.68,23.3408,125
57,642.13,1402.79,553.42,47.29,521.62,8.4263,392,38.84,23.3567,125
58,641.9,1397.99,554.14,47.26,522.21,8.4319,390,38.93,23.2893,125
59,642.33,1403.51,554.62,47.26,521.32,8.4476,392,38.92,23.4444,125
60,642.34,1403.07,554.0,47.41,522.49,8.3878,393,38.89,23.387,125
61,642.1,1405.52,554.09,47.31,522.34,8.4264,391,38.89,23.3638,125
62,642.17,1399.54,554.45,47.28,522.19,8.4071,391,39.03,23.2707,125
63,642.6,1395.38,553.48,47.51,521.56,8.4357,394,38.77,23.3436,125
64,642.23,1400.11,553.88,47.45,521.82,8.4066,391,38.93,23.384,125
65,642.28,1403.24,553.97,47.56,521.54,8.4406,392,38.9,23.3752,125
66,642.5,1399.52,554.0,47.14,521.76,8.3911,391,38.95,23.3152,125
67,642.33,1403.02,554.31,47.39,522.64,8.3925,393,38.97,23.291,125
68,642.51,1404.42,554.04,47.36,521.72,8.4242,392,38.95,23.3174,124
69,642.44,1401.24,554.65,47.41,522.22,8.4292,392,39.0,23.3742,123
70,642.22,1402.78,554.01,47.41,521.93,8.4279,392,38.86,23.4513,122
71,642.21,1403.09,554.06,47.3,521.72,8.423,391,38.8,23.3881,121
72,642.41,1406.81,553.76,47.27,521.97,8.3951,391,38.84,23.3085,120
73,642.29,1397.93,553.88,47.29,522.04,8.404,391,39.03,23.3975,119
74,642.96,1401.48,554.03,47.58,522.25,8.4135,392,38.8,23.382,118
75,641.96,1394.82,553.6,47.22,521.77,8.4621,392,38.89,23.3521,117
76,642.21,1398.94,553.66,47.44,521.58,8.3996,390,39.02,23.4428,116
